ID;Q003;Q004;Q005;Q006;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q018;Q019;Q020;Q021;Q022;Q023;Q024;peso
197;2;3;4;3;2;5;8;5;1;1;1;8;3;2;1;2;1;3;3;3;0,2
198;2;4;1;4;1;2;18;2;1;1;2;4;3;2;2;4;2;2;3;1;1,32
199;2;4;3;6;1;5;10;2;1;1;1;5;3;3;1;2;2;2;3;2;1,19
200;2;4;3;2;1;5;10;2;1;2;2;6;5;2;1;2;2;2;3;2;1,52
201;2;5;1;3;1;3;10;4;1;1;3;7;3;2;1;2;2;2;4;2;0,66
202;1;4;4;4;1;5;12;5;1;3;2;5;3;3;1;3;2;2;3;2;0,59
203;2;6;2;3;1;3;17;4;1;1;2;5;3;2;2;7;2;2;4;2;0,5
204;1;4;2;5;2;5;10;2;1;1;2;5;4;2;1;2;1;3;3;2;0,4
205;2;3;1;6;2;5;7;5;1;2;3;4;4;3;1;2;1;3;3;1;0,15
206;1;3;2;3;1;5;5;2;1;2;3;6;2;2;1;1;;2;3;2;4,4
207;1;5;4;3;1;3;17;1;1;1;2;5;3;2;2;7;1;1;4;2;0,76
208;2;6;1;2;2;5;17;3;1;2;4;5;1;2;2;7;1;3;4;2;0,48
209;1;6;3;3;2;1;17;4;1;1;2;5;3;2;2;7;2;3;4;2;0,31
210;2;3;2;3;2;8;10;4;1;1;2;6;3;2;1;2;2;3;3;2;0,21
211;2;5;2;2;1;6;18;2;1;1;1;7;3;4;2;4;2;1;3;2;3,07
212;1;6;1;5;1;5;17;4;1;1;1;3;4;3;2;7;2;2;4;1;0,71
213;1;4;3;2;1;5;12;4;1;1;1;3;1;3;1;3;2;2;3;1;0,68
214;2;6;2;5;1;3;9;4;1;1;2;6;4;1;1;2;2;2;4;2;0,5
215;2;3;5;1;2;6;10;4;1;1;2;8;1;2;1;2;1;3;2;3;0,26
216;2;6;3;3;1;7;16;3;1;1;1;5;5;5;2;6;;1;4;2;0,66
217;2;6;1;6;1;6;4;4;1;3;1;6;4;3;1;1;;2;4;2;0,66
218;1;4;1;5;1;2;10;5;1;1;1;8;4;3;1;2;2;2;3;3;0,62
219;1;4;3;6;1;5;10;6;1;3;4;7;4;3;1;2;2;2;3;2;1,52
220;1;4;3;4;2;5;9;4;1;1;2;6;3;2;1;2;2;3;3;2;0,23
221;1;6;1;1;1;6;17;1;1;1;4;6;1;2;2;7;2;2;4;2;1,59
222;2;6;2;6;1;3;17;3;1;2;4;7;3;2;2;7;2;2;4;2;0,5
223;2;6;2;5;1;3;17;4;1;3;1;8;4;2;2;7;2;1;4;3;0,5
224;1;6;3;6;2;6;5;4;1;2;3;7;3;3;1;1;;3;5;2;0,31
225;1;6;3;1;1;6;17;2;1;2;5;6;5;2;2;7;1;2;4;2;1,9
226;2;6;1;1;1;6;17;2;1;1;2;3;1;4;2;7;2;1;5;1;1,29
227;1;6;5;5;1;6;17;2;1;3;4;7;3;2;2;7;2;2;4;2;1,43
228;2;6;4;6;2;6;17;4;1;1;2;10;4;2;2;7;1;3;4;;0,19
229;1;5;3;3;2;6;9;5;1;1;2;7;3;3;1;2;2;3;4;2;0,16
230;2;4;2;6;1;2;10;5;1;1;2;9;3;3;1;2;2;2;3;4;0,44
231;2;5;4;6;1;7;2;5;1;2;1;8;4;3;1;1;;2;3;3;0,64
232;1;3;4;6;1;2;1;1;1;1;4;5;4;2;1;1;;2;3;2;1,54
233;2;5;2;5;2;5;17;6;1;1;1;2;3;3;2;7;1;3;4;1;0,24
234;2;5;2;6;2;3;9;6;1;2;3;8;4;3;1;2;2;3;4;3;0,24
235;2;5;3;6;2;5;10;5;1;1;1;7;4;2;1;2;2;3;4;2;0,22
236;1;6;2;1;2;5;5;4;1;2;2;6;1;2;1;1;;3;4;2;0,29
237;2;5;5;4;2;6;16;2;2;1;1;7;5;3;2;6;;3;4;2;0,69
238;1;4;3;4;2;5;10;3;1;1;3;3;5;2;1;2;2;3;3;1;0,23
239;1;6;4;5;1;6;17;4;1;1;1;5;3;3;2;7;1;1;4;2;0,75
240;1;4;1;2;1;6;10;1;1;1;3;3;3;2;1;2;2;2;3;1;1,31
241;1;5;5;2;2;5;9;4;1;1;3;6;5;2;1;2;1;3;4;2;0,38
242;1;6;1;6;2;6;5;5;1;1;1;8;3;2;1;1;;3;5;3;0,17
243;1;5;5;4;1;6;20;6;1;3;5;7;5;4;2;4;;1;4;2;1,04
244;1;5;5;4;2;3;10;6;1;1;2;5;3;3;1;2;1;3;4;2;0,36
245;2;5;4;4;2;5;4;5;1;1;2;8;3;3;1;1;;3;3;3;0,21
246;2;6;1;3;1;6;17;2;1;1;2;5;3;3;2;7;2;1;4;2;1,4
247;1;5;1;6;2;3;5;2;1;1;1;7;4;3;1;1;;3;4;2;0,48
248;1;6;5;3;1;5;17;4;1;1;2;6;2;3;2;7;2;2;4;2;2,83
249;1;3;1;5;1;5;9;2;1;2;4;8;4;2;1;2;2;2;3;3;1,74
250;1;5;3;4;2;5;11;4;1;1;2;8;2;2;1;2;1;3;4;3;0,24
251;2;6;1;3;1;6;17;5;1;1;4;6;2;2;2;7;1;2;4;2;0,62
252;1;6;3;6;1;5;17;5;1;2;1;6;3;3;2;7;2;2;4;2;0,89
253;1;4;4;6;1;9;10;1;1;1;5;6;3;2;1;2;2;2;3;2;1,33
254;1;6;5;5;2;5;17;4;1;1;1;2;4;4;2;7;1;3;4;1;0,23
255;1;5;3;1;1;5;8;5;1;1;1;6;3;3;1;2;1;2;4;2;0,7
256;1;2;3;6;1;6;10;6;1;1;5;8;4;2;1;2;2;2;2;3;3,01
257;1;4;2;4;1;4;5;2;1;1;2;7;3;2;1;1;;2;3;2;1,17
258;1;6;2;3;1;10;17;4;1;2;3;3;3;2;2;7;2;1;5;1;0,84
259;2;4;4;2;2;8;10;5;1;1;1;8;1;3;1;2;1;3;3;3;0,18
260;1;6;1;4;2;6;17;5;1;1;1;8;3;4;2;7;2;3;4;3;0,17
261;1;4;2;4;1;2;12;2;1;1;2;6;3;2;1;3;2;1;3;2;0,52
262;1;4;4;3;1;7;11;6;1;1;2;6;5;4;1;2;1;2;3;2;2,63
263;1;6;1;3;1;6;17;2;1;1;2;5;3;3;2;7;2;1;4;2;1,59
264;2;4;1;6;1;5;16;2;1;1;2;3;4;2;2;6;;2;3;1;1,22
265;2;6;2;2;1;3;17;1;1;1;1;7;1;4;2;7;2;1;4;2;1,07
266;2;3;3;6;1;4;9;7;1;1;1;8;4;2;1;2;1;2;2;3;1,88
267;2;3;5;3;1;4;12;2;1;1;1;2;3;3;1;3;2;2;2;1;3,1
268;2;6;4;1;1;6;17;7;1;1;5;5;1;3;2;7;2;1;4;2;2,29
269;2;5;1;2;1;7;16;4;1;3;5;7;3;3;2;6;;1;4;2;0,7
270;1;4;1;4;1;2;10;6;1;1;2;8;5;3;1;2;2;2;3;3;0,59
271;2;5;4;4;1;8;8;5;1;3;2;8;5;3;1;2;1;2;4;3;0,64
272;1;6;4;3;1;5;17;2;1;3;2;3;5;2;2;7;1;2;4;1;2,32
273;2;5;2;3;1;3;10;1;1;1;1;7;3;1;1;2;1;1;4;2;1,55
274;1;4;2;3;1;5;10;4;1;2;5;3;2;3;1;2;2;2;3;1;2,3
275;2;4;4;5;2;5;10;4;1;1;2;8;4;3;1;2;2;3;3;3;0,77
276;2;5;3;6;1;3;10;6;1;1;5;3;3;3;1;2;1;1;5;1;0,63
277;1;6;1;3;1;5;17;6;1;1;3;7;2;2;2;7;2;2;4;2;1,59
278;1;6;3;4;1;6;17;1;1;2;2;7;2;3;2;7;1;1;4;2;0,85
279;2;4;4;3;2;10;16;7;1;1;5;6;2;3;2;6;;3;3;2;0,17
280;2;5;4;3;1;5;16;7;1;1;3;3;3;3;2;6;;2;4;1;2,67
281;2;4;3;3;1;5;16;2;1;1;2;6;5;2;2;6;;2;3;2;1,4
282;1;4;4;6;1;5;10;5;1;1;3;6;3;5;1;2;2;2;3;2;2,63
283;1;5;1;2;1;6;9;4;1;1;1;3;1;3;1;2;1;2;4;1;0,7
284;1;6;3;4;2;9;17;3;1;2;2;3;5;3;2;7;1;3;4;1;0,21
285;1;4;5;3;2;6;10;1;1;2;4;8;3;4;1;2;1;3;3;3;0,62
286;2;4;2;4;2;4;10;3;1;2;4;3;3;2;1;2;1;3;3;1;0,35
287;2;3;4;6;2;5;1;6;1;1;2;6;4;3;1;1;;3;2;2;1,31
288;2;6;3;6;1;5;16;4;1;3;1;6;4;2;2;6;;1;4;2;0,69
289;2;4;5;1;1;6;17;4;1;1;3;3;1;3;2;7;2;2;3;1;0,44
290;2;4;1;6;1;2;10;7;1;3;5;5;4;2;1;2;2;2;3;2;2,61
291;1;3;1;4;2;5;10;2;1;1;3;5;3;3;1;2;2;3;2;2;0,6
292;2;2;1;6;2;6;10;6;1;3;1;8;4;2;1;2;2;3;2;3;0,97
293;1;3;2;3;1;5;10;1;1;2;2;8;2;3;1;2;2;2;3;3;1,74
294;1;4;2;3;2;5;1;4;1;2;4;3;3;2;1;1;;3;3;1;0,19
295;1;5;3;4;2;5;10;4;1;2;4;3;2;3;1;2;1;3;4;1;0,16
296;1;5;5;2;1;5;10;5;1;1;1;7;1;3;1;2;1;1;4;2;1,04
