ID;Q002;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q019;Q020;Q021;Q022;Q023;Q024;Q025;peso
160;1;4;4;4;1;5;10;4;1;2;2;2;6;3;3;1;2;2;2;3;2;0,67
161;2;4;4;4;2;5;10;7;1;1;2;3;3;2;3;1;2;1;3;3;1;0,77
162;1;6;3;6;1;6;5;7;1;1;2;2;5;4;3;1;1;;2;4;2;2,72
163;1;4;3;6;2;5;5;2;1;2;4;4;3;3;2;1;1;;3;3;1;0,35
164;1;5;2;1;1;6;10;4;1;2;2;2;6;1;2;1;2;2;2;3;2;0,48
165;1;3;1;6;2;2;10;2;1;1;4;4;8;4;2;1;2;2;3;2;3;0,71
166;1;5;1;5;2;5;5;2;1;2;3;3;6;4;2;1;1;;3;4;2;0,71
167;2;6;2;5;1;3;17;4;1;1;3;4;7;4;2;2;7;2;1;5;2;0,76
168;2;6;4;4;1;3;17;7;1;1;4;4;3;3;3;2;7;2;1;4;1;2,01
169;2;3;3;3;1;6;10;6;1;1;4;4;5;3;2;1;2;2;2;3;2;0,88
170;2;3;2;5;1;5;10;2;1;3;1;4;7;3;2;1;2;2;2;3;2;1,14
171;2;5;3;6;1;6;16;4;1;3;5;5;5;4;2;2;6;;2;4;2;1,8
172;1;2;3;6;1;5;11;5;1;2;3;2;6;3;4;1;2;1;1;2;2;2,01
173;1;4;1;4;2;4;10;5;1;1;1;2;7;3;4;1;2;2;3;3;2;0,15
174;2;5;1;4;1;4;10;3;1;1;2;5;5;2;2;1;2;1;2;4;2;1,36
175;2;3;2;4;2;6;11;4;1;2;3;3;8;3;2;1;2;2;3;3;3;0,17
176;2;3;2;5;1;5;9;2;1;1;2;2;5;4;2;1;2;2;2;2;2;1,96
177;1;3;1;1;1;2;10;7;1;2;2;4;6;5;3;1;2;2;2;2;2;3,68
178;2;4;2;5;1;5;10;2;1;1;3;3;5;4;4;1;2;1;2;3;2;1,47
179;2;5;1;6;1;6;16;5;1;2;3;4;8;3;2;2;6;;2;4;3;2,34
180;1;4;2;3;2;6;9;6;1;3;2;4;7;2;3;1;2;2;3;3;2;0,89
181;2;6;4;5;2;6;1;7;1;3;3;3;6;4;2;1;1;;3;4;2;0,67
182;1;4;4;6;1;6;10;7;1;3;5;5;10;4;3;1;2;2;2;3;;2,71
183;1;4;2;5;2;5;16;2;1;1;4;4;6;4;3;2;6;;3;3;2;0,52
184;1;5;2;3;1;6;11;6;1;2;4;4;6;5;2;1;2;1;2;4;2;1,68
185;1;5;1;3;1;5;10;4;1;3;2;2;6;2;3;1;2;2;2;4;2;0,97
186;2;6;1;4;1;6;17;1;1;1;2;2;2;3;3;2;7;1;2;4;1;0,59
187;2;2;2;1;1;5;10;2;1;2;5;3;6;1;2;1;2;2;2;2;2;1,13
188;2;4;4;4;1;5;10;4;1;3;2;3;4;3;3;1;2;2;2;3;1;0,61
189;2;3;1;3;2;2;11;6;1;1;4;4;10;2;3;1;2;2;3;2;;0,77
190;2;4;3;6;2;5;20;7;1;1;2;3;4;3;5;2;4;;3;3;1;0,93
191;2;5;2;1;1;6;13;2;1;2;3;3;3;1;3;1;1;;2;4;1;0,87
192;1;4;4;4;1;5;12;7;1;1;2;3;5;3;4;1;3;2;1;3;2;0,67
193;2;3;1;6;2;6;5;3;1;3;5;5;10;3;3;1;1;;3;3;;0,2
194;2;6;1;4;1;6;8;4;1;1;4;4;3;3;3;1;2;1;2;4;1;2,39
195;2;3;5;4;1;4;11;6;1;1;2;4;7;3;4;1;2;2;2;3;2;0,82
